time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-20 00:00:00+00:00,5,1,19,2
2023-01-21 00:00:00+00:00,3,2,8,2
2023-01-22 00:00:00+00:00,2,1,0,0
2023-01-23 00:00:00+00:00,9,3,43,5
2023-01-24 00:00:00+00:00,13,2,9,3
2023-01-25 00:00:00+00:00,126,4,83,1
2023-01-26 00:00:00+00:00,12,1,31,3
2023-01-27 00:00:00+00:00,14,2,12,4
2023-01-28 00:00:00+00:00,2,1,0,0
2023-01-29 00:00:00+00:00,2,1,3,1
2023-01-30 00:00:00+00:00,4,3,41,4
2023-01-31 00:00:00+00:00,10,4,3,3
2023-02-01 00:00:00+00:00,17,1,1,1
2023-02-02 00:00:00+00:00,8,2,4,3
2023-02-03 00:00:00+00:00,14,3,2,1
2023-02-04 00:00:00+00:00,2,1,0,0
2023-02-05 00:00:00+00:00,2,1,6,1
2023-02-06 00:00:00+00:00,5,4,5,3
2023-02-07 00:00:00+00:00,14,3,25,5
2023-02-08 00:00:00+00:00,7,1,20,2
2023-02-09 00:00:00+00:00,8,2,17,5
2023-02-10 00:00:00+00:00,7,1,24,2
2023-02-11 00:00:00+00:00,2,1,0,0
2023-02-12 00:00:00+00:00,2,1,0,0
2023-02-13 00:00:00+00:00,13,2,5,1
2023-02-14 00:00:00+00:00,2,1,2,1
2023-02-15 00:00:00+00:00,2,1,27,2
2023-02-16 00:00:00+00:00,19,2,22,6
2023-02-17 00:00:00+00:00,26,4,6,4
2023-02-18 00:00:00+00:00,2,1,0,0
2023-02-19 00:00:00+00:00,2,1,9,1
2023-02-20 00:00:00+00:00,3,2,15,1
2023-02-21 00:00:00+00:00,4,3,15,2
2023-02-22 00:00:00+00:00,12,1,25,6
2023-02-23 00:00:00+00:00,28,2,6,2
2023-02-24 00:00:00+00:00,8,2,2,2
2023-02-25 00:00:00+00:00,2,1,0,0
2023-02-26 00:00:00+00:00,2,1,0,0
2023-02-27 00:00:00+00:00,24,2,17,2
2023-02-28 00:00:00+00:00,18,2,16,5
2023-03-01 00:00:00+00:00,6,3,8,2
2023-03-02 00:00:00+00:00,18,6,15,3
2023-03-03 00:00:00+00:00,18,2,18,2
2023-03-04 00:00:00+00:00,2,1,6,3
2023-03-05 00:00:00+00:00,2,1,0,0
2023-03-06 00:00:00+00:00,12,1,4,4
2023-03-07 00:00:00+00:00,7,1,3,3
2023-03-08 00:00:00+00:00,5,1,11,3
2023-03-09 00:00:00+00:00,9,3,16,4
2023-03-10 00:00:00+00:00,22,4,22,6
2023-03-11 00:00:00+00:00,3,2,0,0
2023-03-12 00:00:00+00:00,2,1,2,2
2023-03-13 00:00:00+00:00,17,1,9,4
2023-03-14 00:00:00+00:00,32,1,2,2
2023-03-15 00:00:00+00:00,2,1,2,1
2023-03-16 00:00:00+00:00,2,1,30,2
2023-03-17 00:00:00+00:00,8,2,4,3
2023-03-18 00:00:00+00:00,3,2,0,0
2023-03-19 00:00:00+00:00,3,2,3,1
2023-03-20 00:00:00+00:00,30,3,16,3
2023-03-21 00:00:00+00:00,13,2,3,1
2023-03-22 00:00:00+00:00,23,2,6,3
2023-03-23 00:00:00+00:00,27,1,11,1
2023-03-24 00:00:00+00:00,17,1,27,4
2023-03-25 00:00:00+00:00,12,1,1,1
2023-03-26 00:00:00+00:00,2,1,0,0
2023-03-27 00:00:00+00:00,43,4,2,2
2023-03-28 00:00:00+00:00,12,1,0,0
2023-03-29 00:00:00+00:00,8,2,15,2
2023-03-30 00:00:00+00:00,22,1,9,2
2023-03-31 00:00:00+00:00,4,3,12,2
2023-04-01 00:00:00+00:00,2,1,6,2
2023-04-02 00:00:00+00:00,3,2,1,1
2023-04-03 00:00:00+00:00,17,1,15,10
2023-04-04 00:00:00+00:00,7,1,5,3
2023-04-05 00:00:00+00:00,12,1,4,2
2023-04-06 00:00:00+00:00,17,1,0,0
2023-04-07 00:00:00+00:00,2,1,5,1
2023-04-08 00:00:00+00:00,2,1,2,1
2023-04-09 00:00:00+00:00,2,1,0,0
2023-04-10 00:00:00+00:00,2,1,2,1
2023-04-11 00:00:00+00:00,7,1,2,2
2023-04-12 00:00:00+00:00,3,2,1,1
2023-04-13 00:00:00+00:00,7,1,2,1
2023-04-14 00:00:00+00:00,3,2,1,1
2023-04-15 00:00:00+00:00,2,1,0,0
2023-04-16 00:00:00+00:00,2,1,0,0
2023-04-17 00:00:00+00:00,7,1,1,1
2023-04-18 00:00:00+00:00,2,1,2,2
2023-04-19 00:00:00+00:00,38,3,3,2
2023-04-20 00:00:00+00:00,51,3,16,3
2023-04-21 00:00:00+00:00,7,1,1,1
2023-04-22 00:00:00+00:00,3,2,8,5
2023-04-23 00:00:00+00:00,2,1,0,0
2023-04-24 00:00:00+00:00,2,1,14,3
2023-04-25 00:00:00+00:00,21,1,5,2
2023-04-26 00:00:00+00:00,40,5,4,2
2023-04-27 00:00:00+00:00,22,1,2,1
2023-04-28 00:00:00+00:00,9,3,9,4
2023-04-29 00:00:00+00:00,2,1,0,0
2023-04-30 00:00:00+00:00,2,1,0,0
2023-05-01 00:00:00+00:00,3,2,0,0
2023-05-02 00:00:00+00:00,3,2,0,0
2023-05-03 00:00:00+00:00,3,2,5,1
2023-05-04 00:00:00+00:00,2,1,19,5
2023-05-05 00:00:00+00:00,2,1,6,4
2023-05-06 00:00:00+00:00,2,1,0,0
2023-05-07 00:00:00+00:00,2,1,0,0
2023-05-08 00:00:00+00:00,7,1,32,3
2023-05-09 00:00:00+00:00,3,2,3,3
2023-05-10 00:00:00+00:00,2,1,7,4
2023-05-11 00:00:00+00:00,12,1,3,3
2023-05-12 00:00:00+00:00,7,1,7,3
2023-05-13 00:00:00+00:00,2,1,5,2
2023-05-14 00:00:00+00:00,2,1,0,0
2023-05-15 00:00:00+00:00,2,1,8,2
2023-05-16 00:00:00+00:00,3,2,5,2
2023-05-17 00:00:00+00:00,4,3,30,6
2023-05-18 00:00:00+00:00,7,1,16,9
2023-05-19 00:00:00+00:00,27,1,49,3
2023-05-20 00:00:00+00:00,2,1,0,0
2023-05-21 00:00:00+00:00,4,2,1,1
2023-05-22 00:00:00+00:00,12,1,6,3
2023-05-23 00:00:00+00:00,3,2,0,0
2023-05-24 00:00:00+00:00,25,5,37,6
2023-05-25 00:00:00+00:00,3,2,1,1
